marker,gene,gmsdis_coef,gmsdis_coef_pval,gmsdis_pval_fdr
8646_61_3,LRRTM4,-0.247158786,2.31135e-4,0.006614372
8372_29_3,CDHR1,-0.227008213,0.001280548,0.017819044
12804_5_3,GMEB2,-0.382900419,1.72991e-4,0.002331936
13580_2_3,UAP1,0.182570609,0.008159895,3.79e-6
10618_190_3,LRP2,-0.117728297,0.00771,4.18e-8
11297_54_3,NOTCH2,0.1261953,0.047615923,1.89e-11
6352_8_3,INSRR,0.099326915,0.0389,0.04197095
4330_4_2,KLK3,-0.161461759,0.0244,8.75e-8
14134_49_3,AMIGO2,0.256285993,1.37e-5,3.52e-6
9326_33_3,ITIH2,0.140799282,0.0237,1.79e-6
7146_16_3,PDIA4,0.201,2.7e-5,7.65508e-4
5704_74_3,GZMM,-0.220372642,2.95e-5,1.64e-6
6471_53_3,CFHR4,-0.22829214,1.12e-4,0.001333222
5111_15_3,NRXN3,-0.145409239,0.012437647,1.84043e-4
6207_10_3,PSAP,-0.106570295,0.021859351,0.004235694
2816_50_2,BCAM,0.117118547,0.0079522,0.00898402
4867_15_2,VEGFA,-0.173948492,0.00634865,0.024690186
3152_57_1,TNFRSF1B,0.320101304,2.39e-5,1.51e-5
10902_53_3,ASPRV1,-0.146245458,0.038135944,1.94186e-4
9439_454_3,C2orf82,-0.131292935,0.030586999,0.005206323
10700_10_3,IGSF11,-0.177624958,0.001743707,0.019317461
7245_2_3,CELF2,-0.355842488,0.003199548,0.016170657
14144_3_3,HIST3H2A,-0.338804072,7.28003e-4,0.012030729
4976_57_1,CRK,0.232369084,2.88794e-4,0.003401743
11270_17_3,CHCHD10,0.109930537,0.0367,0.002489485
8699_43_3,CRIM1,-0.309854168,0.001038411,0.018627956
9116_28_3,HEPACAM2,0.250202482,2.3176e-4,2.01614e-4
10914_4_3,CHIC2,0.219670364,4.19e-5,1.43643e-4
7161_25_3,H6PD,0.203639729,3.16e-4,0.001046948
7106_37_3,OOSP2,-0.255651996,1.74714e-4,0.00293637
10803_22_3,PCDHGB2,0.17529928,0.009062417,0.034386229
9757_29_3,ENAH,-0.229855687,4.06988e-4,0.00464
6260_14_3,FAM163A,0.096450451,0.0106,0.003366007
14091_42_3,CBR3,0.138358594,0.010121058,0.010574997
2835_1_4,XRCC6,-0.237350761,0.005912712,0.013092072
4962_52_1,CDNF,0.388977621,1.8e-10,6.84e-9
13670_81_3,PLA2G2E,0.162341185,0.002226503,0.005011021
5939_42_3,TNFSF12,0.118654512,0.0141,7.8e-6
10981_56_3,NRG3,0.090737814,0.0463,4.15e-5
14050_61_3,EFNA4,0.375505122,1.05e-9,1.14e-8
2991_9_2,IL1R1,0.281925299,4e-7,1.89e-11
4437_56_3,ENTPD5,-0.232865175,1.0912e-4,0.001412188
2649_77_2,ICAM3,-0.23887611,0.002791009,0.024734079
6590_54_3,NRP2,0.210289485,2.64e-5,4.39e-5
13972_4_3,HSD17B14,0.307069678,3.6e-6,1.68e-7
3431_54_2,EPHA1,0.100389563,0.0139,4.01e-15
8233_2_3,ITIH5,0.329096092,2.04e-5,2.3e-14
8368_102_3,TNFRSF1B,0.325953384,3.32e-5,4.08e-5
5116_62_2,ROBO2,-0.157293144,1.4e-4,6.27e-13
2741_22_2,SIGLEC6,-0.205635289,2.75052e-4,0.010048839
11678_105_3,GJD2,0.15713886,0.00776,0.00256
3038_9_2,CXCL11,-0.157300437,0.004295772,1.95596e-4
13941_82_3,FARS2,0.334414339,9.08e-6,1.67006e-4
3736_60_3,BMP6,0.228855292,1.89e-4,0.001618791
6361_49_3,PTPRR,-0.139947715,0.00222,2.64e-11
3405_6_2,UFC1,0.195019226,2.24234e-4,0.003176142
4455_89_2,MFGE8,-0.113280616,0.0441,8.26e-6
10584_7_3,NDUFS4,-0.241375932,3.23207e-4,0.002144076
10724_45_3,CLPB,-0.166089433,0.002008254,0.041885857
7776_20_3,UNC5B,-0.091672334,0.0355,1.33263e-4
14047_78_3,BDNF,-0.195068655,0.001729184,0.03215585
14246_50_3,DOK2,-0.269145863,1.42e-5,4.79e-5
3651_50_5,KDR,0.269121205,2.59e-8,6.2e-10
9384_17_3,CAMP,-0.166944773,0.003736634,0.042430081
14256_4_3,FBN3,-0.172625299,0.007040293,0.013272664
8891_7_3,CPVL,0.122360977,0.0231,0.003168069
8409_3_3,RSPO2,0.29877789,8.78e-6,5.67297e-4
10445_20_3,APOM,0.123918494,0.0111,2.28e-6
3814_63_1,IL11RA,0.220822826,8e-5,7.74663e-4
12357_41_3,SNAP29,0.240471408,1.70831e-4,0.003809333
11313_100_3,PCBD1,0.327356347,2.32592e-4,6.73e-5
3184_25_2,F7,-0.143257695,0.008317116,0.001542684
4801_13_3,LPO,0.229900308,0.00103,1.93e-5
11319_106_3,MRE11A,-0.267921339,0.004749085,0.026516601
11490_42_3,UBL4A,0.165928512,0.0016,9.84877e-4
7740_33_3,FATE1,-0.205527231,0.003544185,0.042790854
11672_17_3,KIF16B,-0.246981924,8.46262e-4,0.005263378
6410_26_3,INSL4,0.298898107,4.79e-5,0.002145543
12516_13_3,TEAD4,0.207192717,0.005636441,0.015170804
3208_2_4,MATN3,-0.274039139,3.0167e-4,0.008679768
11232_46_3,TCN1,0.315917767,3.77e-8,1.37e-11
12513_8_3,GLTP,0.29575738,9.15e-6,6.5208e-4
8235_48_3,CHGB,-0.332205786,6.91e-11,1.17e-15
9065_28_3,TXLNA,0.27797167,3.32e-6,2.04e-6
5630_48_3,CD300A,0.23196708,3.82e-6,2.59e-5
3445_53_2,IL15RA,-0.163103817,0.003894719,0.016796104
8850_5_3,PLA2G2C,-0.230946045,0.001136329,0.021221831
9075_121_3,KIAA1024,-0.192588593,0.003058901,0.03688302
10521_10_3,MXRA8,0.122449867,0.005508788,0.002230612
8370_102_3,DEFB119,-0.140533235,0.00708,2.0199999999999998e-24
2640_3_2,MST1R,-0.247915291,8.30712e-4,0.011060255
9218_7_3,FAS,0.148060258,3.63804e-4,5.74e-5
2948_58_2,GHR,-0.137108598,0.001062071,1.49e-4
9808_41_3,TNRC6B,0.229648029,4.03e-5,2.73349e-4
9127_4_3,SLC26A5,-0.145471557,0.024448774,0.040782068
13477_65_3,LTB4R,0.155410533,0.02568995,0.030679074
10370_21_3,STAT1,-0.355462466,3.95e-6,2.57953e-4
5392_73_2,FAS,0.091231236,0.016865153,0.007530047
7219_152_3,LIPA,0.231819567,4.1278e-4,0.007041875
10749_18_3,C1QTNF3,0.171860198,0.007052317,0.038941127
4550_3_2,FYN,-0.171017212,0.00363717,0.009888616
4785_30_3,SERPINA6,-0.174830338,0.005071235,0.046465709
10758_2_3,KERA,0.265807706,3.09024e-4,5e-7
13544_9_3,HMHA1,-0.177993125,0.0438636,0.032182721
3636_37_4,OLR1,0.167086088,5.51e-4,1.97e-5
8062_15_3,EVA1B,0.183051288,0.004486341,0.012111619
5484_63_3,RPS3A,-0.225429676,0.007309354,0.022126103
10894_25_3,SCGN,0.271787728,7.72014e-4,0.001563337
7893_19_3,OLR1,0.195401677,9.31e-5,7.31e-7
3232_28_2,ACP5,0.102180505,0.009037257,0.014151042
14708_59_3,C8G,-0.196610347,0.001299225,0.005693433
8275_31_3,PEAR1,0.2080029,6.77492e-4,7.31e-7
13948_50_3,GABBR2,0.110800903,0.013117286,0.001465819
6354_13_3,HEPHL1,-0.215062677,9.94389e-4,0.02265235
5633_65_3,LILRB2,0.225779167,8.51e-5,4.79e-6
5716_49_3,CSAG1,-0.177415228,0.00231322,0.042551389
14615_46_3,KRTAP2-4,0.139878429,0.006131851,0.045922168
8262_20_3,APOD,0.181432063,3.93942e-4,4.23e-4
12988_49_3,EWSR1,0.234989612,8.11e-5,5.15e-5
11955_1_3,ARHGAP1,0.363883099,2.31e-7,1.55e-5
13545_97_3,EIF1AD,0.163817592,0.020639247,1.03e-5
5738_25_3,SFTPC,0.120039846,9.80739e-4,7.7e-5
11163_7_3,FAM162B,-0.167042423,0.024591728,0.019915637
2643_57_2,CDH3,0.158284405,0.0177,9.71e-15
11067_13_3,BGLAP,-0.123705086,0.0176,1.24092e-4
8887_21_3,NUDC,0.186021995,0.001762536,0.007054407
8290_1_3,VAMP5,-0.126502016,0.02618104,0.04197095
6431_68_3,PCYOX1,-0.166245217,0.017706672,3.38094e-4
8080_24_3,MSMP,0.2080188,2.63e-4,6.34e-8
3327_27_1,NTN4,-0.129690441,0.00572,3.67515e-4
4392_54_2,FGF12,-0.17043257,7.71e-4,5.76e-10
3443_61_2,HIPK3,-0.181957781,0.007683626,0.02125264
12350_86_3,ETS2,0.271986918,1.55e-6,2.16e-6
3396_54_2,REN,-0.132232346,0.0291,2.7e-5
9627_15_3,VIT,0.116696015,0.0253,3.12e-10
4490_65_2,IL3RA,-0.126142962,0.04965095,1.18e-6
12656_1_3,KLC1,-0.189986869,0.006569695,0.00329569
12695_62_3,KLHL12,-0.23418723,0.00201,4.26195e-4
4983_6_1,ERP29,0.271134952,3.0058e-4,0.001647383
6570_1_3,COL13A1,-0.206381685,2.61569e-4,0.002023989
9187_2_3,HMGN1,-0.143015249,0.0432,0.00574378
13392_13_3,ATP1B1,-0.095796807,0.0297,6.78044e-4
9854_36_3,AKR1B1,0.312614238,6.17e-7,5.47e-7
11669_39_3,SLCO5A1,0.176185951,0.033477832,5.65596e-4
7861_9_3,ROR2,0.115126952,0.020773636,1.73092e-4
3081_70_2,ULBP1,-0.248436766,5.99059e-4,0.01415983
7082_2_3,B3GNT6,-0.219863427,0.002061087,0.011926504
2602_2_2,ANGPT2,-0.092729946,0.0369,0.048003406
12560_9_3,NT5C,0.209886927,0.019028393,0.040417733
14086_11_3,SMPDL3A,-0.116019439,0.016218027,0.008451132
13041_47_3,TRAF4,0.179400165,0.001128698,2.43e-6
12507_16_3,ITPKC,0.18931472,0.001835421,0.036762554
5609_92_3,FAM19A5,0.118527831,0.0118,0.001625362
7842_52_3,SERF1A,-0.161382499,0.034539207,0.036795772
10692_48_3,DYNAP,-0.268046759,4.56633e-4,0.003557887
12751_26_3,ZHX1,-0.172035641,0.01184874,4.27222e-4
4413_3_2,SLPI,0.139986411,0.044553148,0.00251
12577_100_3,FEN1,0.155551971,0.002700708,0.004371002
7943_16_3,CUZD1,-0.128370568,0.0201,1.32e-14
9450_18_3,CDK2AP1,-0.184087813,0.00124,0.024084308
10419_1_3,SCARA5,-0.198772764,0.001913848,0.001367199
14052_26_3,UNC13A,-0.166176005,0.007092346,0.032131559
3709_4_2,GPT,0.214475718,1.2e-5,8.69e-7
8289_8_3,GPNMB,0.23809763,0.004381368,0.00433468
7743_5_3,TIMM50,-0.383707208,1.42e-5,6.48e-10
6525_17_3,DUSP13,-0.187391325,0.01334543,0.023223411
7253_6_3,QKI,-0.168152609,0.0067,2.18e-12
14334_3_3,RCVRN,0.307018387,3.91e-5,0.002211152
2505_49_3,GFRA3,-0.265270419,0.001609381,0.007017438
13716_259_3,F2,0.23929563,2.04549e-4,2.75e-9
9474_22_3,ASGR2,0.22922558,8.28e-5,2.87e-4
8034_6_3,DRGX,0.143231362,0.003174886,6.08e-5
9234_8_3,TWSG1,0.199527251,0.00855,1.38e-8
2333_72_1,TGFB1,-0.244495514,0.002146486,0.013262504
9894_13_3,MYO6,-0.183991883,6.23775e-4,0.013512635
8653_132_3,DNAJC4,-0.153711528,0.002399382,0.030556437999999998
12551_3_3,ITCH,-0.326645346,2.44e-7,6.06e-6
12735_39_3,CSDE1,-0.223616505,9.2386e-4,0.001903827
13429_3_3,WFDC10A,0.208104104,7.17e-5,0.002230689
3450_4_2,KLK6,-0.204037339,0.002169242,0.014446064
13665_35_3,PPP2R3A,0.312152493,4.27e-8,5.63e-8
8916_32_3,STIM1,0.118792822,0.0179,0.005379022
14070_56_3,ITSN1,0.133532002,0.00408,0.009515303
14105_5_3,SERPINA4,0.146385185,0.00296,3.2e-8
14125_5_3,APOM,0.294851794,8.01e-8,1.71e-14
12546_1_3,SMTN,0.393584391,2.11e-7,1.59e-8
8518_55_3,ADM,0.225538532,9.77537e-4,0.026132899
5410_53_3,CDH15,-0.189508769,0.032849565,0.046151584
13739_3_3,FLRT1,-0.267984853,5.2133e-4,0.002309235
11462_8_3,RBFOX2,0.276354144,1.91955e-4,3.94e-7
4984_83_1,ESD,-0.180567045,0.003187278,0.004994106
14755_4_3,LTF,0.165496817,3.87118e-4,0.007869113
10045_47_3,CUL3,0.194369938,0.02516744,0.03986309
2421_7_3,BDNF,-0.262507159,7.66324e-4,0.020972112
7251_64_3,C1QTNF3,-0.27032288,2.23e-16,4.8200000000000006e-27
6382_17_3,MANBA,-0.167851509,0.001174294,2.55e-5
2212_69_1,PLAT,-0.212925367,0.001132602,0.005691118
9010_3_3,DMPK,0.347041115,4.05e-8,1.64e-10
9937_7_3,GJA1,-0.186466485,0.001706135,0.007900792
2968_61_1,TNFSF15,0.202729384,6.13093e-4,2.23e-5
10699_52_3,LRP1,0.171733515,0.010741581,9.13217e-4
9284_25_3,SFRP4,-0.143253438,0.00379,3.07e-6
8086_49_3,ITM2B,-0.274735794,2.05343e-4,1.15187e-4
2788_55_1,MMP3,-0.171356526,0.00459,5.72e-23
12670_15_3,RAD1,-0.222850192,7.98773e-4,0.017640885
4842_62_2,GPC3,0.231750349,1.38361e-4,4.87e-7
4194_26_3,ANP32B,0.179056436,0.0187,1.5e-7
5638_23_3,COLGALT1,-0.258367613,3.19e-6,1.5e-7
3473_78_2,MPL,-0.172535665,0.001135206,0.016831214
4961_17_1,ANXA2,0.216938484,0.00397,2.2e-5
6990_44_3,SDF2L1,0.200519584,2.73767e-4,2.50143e-4
3400_49_2,TBK1,-0.203649776,5.93e-5,0.002223729
2686_67_2,IGFBP6,0.138966427,0.0156,3.69e-11
2654_19_1,TNFRSF1A,0.289866646,1.22e-9,7.99e-11
6472_40_3,PMEL,-0.129825493,0.00907,1.5e-9
12498_12_3,TAX1BP3,0.266961032,6.94217e-4,1.65986e-4
12834_3_3,KCNF1,-0.133027148,0.036441956,0.007530047
2809_25_2,ADAMTS4,-0.19056001,3.27879e-4,0.008568022
8369_102_3,DAG1,0.279949956,9.32e-13,1.94e-17
3374_49_2,HCK,-0.285177543,1.3e-5,8.16182e-4
8931_124_3,G0S2,-0.120416725,0.017044615,0.010094351
11117_2_3,SPATA20,0.252338941,0.00147927,0.008485015
12438_127_3,MPG,-0.207577533,0.015607857,0.02312708
3420_21_2,CA13,0.214131955,0.001054642,3.87e-7
12381_26_3,CBR1,0.21794044,0.019371628,0.046714074
2977_7_2,EDAR,0.233919417,4.06e-7,6.8e-10
9909_4_3,CD300LG,-0.145158528,0.022094773,0.035958323
3311_27_1,FCGR3B,0.292422166,2.17e-9,1.57e-7
2443_10_4,FGF8,-0.260917309,1.05399e-4,0.004467429
5636_10_3,MFAP4,0.246570749,3.03784e-4,0.002494239
5606_24_3,MFAP1,-0.235527608,8.06158e-4,0.01757333
3868_8_1,SGTA,-0.260932197,2.48297e-4,0.003303477
6425_87_3,MMP19,0.162075868,0.00258,6.56e-9
3179_51_2,CTSA,-0.198855394,3.45e-5,1.16e-6
12534_10_3,CALCOCO2,0.194840992,6.96092e-4,0.013368653
13554_78_3,REPIN1,0.10818152,0.0411,3.14e-6
5457_5_2,COLEC12,0.327637824,1.93e-9,2.26e-9
14077_6_3,FCN3,-0.231324905,3.32685e-4,7.51827e-4
9125_23_3,MASP1,-0.209151884,0.003562914,0.045348037
5669_26_3,SIRPB2,-0.217679638,0.013004312,0.017922538
8974_172_3,COL15A1,0.223121843,3.54e-4,1.32e-7
7898_29_3,MDM1,0.092269832,0.0235,0.002423221
7157_22_3,PCDHA4,-0.104206471,0.035406068,0.045377452
7922_5_3,ADM,0.203213826,4.21692e-4,0.001295572
2418_55_9,APOE,-0.181867118,3.08e-4,1.76e-8
5982_50_3,CFHR1,0.159751045,0.001230594,2.61e-5
13240_170_3,SHANK1,0.234539881,3.14413e-4,0.001400098
10702_1_3,COL28A1,0.201842206,6.92e-5,5.8e-11
2732_58_3,NANOG,-0.245161255,5.09e-5,9.94333e-4
8696_15_3,GAL3ST1,-0.146422758,0.018183794,0.020234075
5508_62_3,CTSD,-0.183329242,0.006304082,0.001060872
3616_3_5,GNS,-0.102275006,0.00896,6.9e-6
13553_4_3,DCUN1D3,0.423004022,3.08e-9,1.88e-13
9835_16_3,ALDH1A3,0.243940224,9.37e-5,9.56109e-4
7825_7_3,ABHD12,-0.199057861,0.003024741,0.027429321
3805_16_2,ESM1,-0.107497579,0.0288,1.16e-5
2436_49_4,CXCL16,0.323891498,5.2e-9,1.5e-9
2575_5_5,LEP,-0.173491797,0.00254,1.35e-6
2634_2_2,IL2RG,0.271399257,3.39e-5,1.74e-7
11709_29_3,CPT1B,0.13999722,0.0156,1.0157e-4
7180_114_3,IFNA14,-0.157784387,0.006988761,0.014463195
6536_54_3,PLBD2,-0.254317661,2.40106e-4,5.22926e-4
2381_52_4,C5,0.113543989,0.0399,8.75e-11
12484_67_3,PITPNB,0.152623047,0.006328279,0.026413359
13710_6_3,SERPING1,0.241269161,0.009203484,8.7643e-4
6231_46_3,STC2,-0.151011912,0.02741411,0.045197317
9461_2_3,ICAM4,-0.1745718,0.003075707,0.009888616
9829_91_3,SULT2A1,0.226688424,7.17304e-4,0.002620381
4138_25_2,IL20,-0.247804921,2.48676e-4,0.00599883
9964_10_3,MYZAP,0.089798341,0.042139211,0.003325646
14618_26_3,VOPP1,0.164294539,0.00433,1.64e-6
9872_23_3,CTNNA2,0.178137284,0.002119795,0.033012003
4282_3_2,RAN,-0.262655035,0.001636658,0.035463162
5801_72_3,NGF,0.227712646,5.09e-5,0.002611147
8459_10_3,BMP6,0.183482681,0.00113,0.006432463
6544_33_3,NELL1,-0.138149066,9.55e-4,4.19756e-4
13416_8_3,TMEM132D,-0.099630252,0.0377,2.74e-6
9545_156_3,GZMK,-0.208249122,0.001282182,0.005702139
3206_4_2,LYVE1,-0.115825235,0.009030991,1.56272e-4
3873_51_2,TPO,-0.3114154,7.61e-5,0.002669291
3743_1_3,MMP10,-0.197152911,0.002577,0.022544138
5587_3_3,CCDC134,0.20465337,1.91987e-4,0.003616749
9786_310_3,IER3,-0.229020259,2.46213e-4,0.007278508
11294_7_3,TMCC3,-0.1947841,0.002756562,0.02125264
12794_6_3,NLRP4,-0.172016518,0.003489601,0.024270529
3758_63_3,PROC,-0.270368944,7.78e-5,5.28e-6
3373_5_2,GZMH,-0.447550062,3.78e-7,2.62e-5
11476_43_3,VPS4A,0.161852877,0.00212,0.003449911
7751_121_3,SFRP2,0.157783033,0.003726871,1.22172e-4
11516_7_3,FABP1,0.174662381,0.00188,1.01956e-4
6267_51_3,STMN4,-0.212619708,4.62174e-4,0.001468359
13042_7_3,KCNA10,0.176448061,0.00410847,0.002172019
2687_2_1,MIA,0.177628746,0.0042,4.42e-11
13104_32_3,EFNB1,0.226240598,1.04e-6,3.23e-7
2523_31_3,CCL5,-0.262076802,2.58976e-4,0.005997711
7140_1_3,CELA2A,-0.20477269,3.0856e-4,0.004661682
6360_7_3,DEFB128,-0.242769649,6.2e-5,0.001392772
8464_31_3,RSPO4,0.164966755,4e-4,1.41e-5
7818_101_3,GBP6,0.234601205,2.52e-6,7.52e-5
4673_13_2,IL6,-0.151837314,0.030518544,0.036775551
13930_3_3,APOBEC3G,-0.350614484,2.12e-5,8.76734e-4
13738_8_3,INHBA,0.131546374,0.040978041,0.008324666
11634_32_3,RGS10,-0.326392304,3.32e-6,1.52328e-4
12386_11_3,RNPEP,-0.175692952,0.008511971,0.003874434
11196_31_3,COL6A3,0.17108885,5.86362e-4,1.73e-7
13504_147_3,HNRNPR,0.239065685,0.00161892,0.030140702
12724_81_3,CIRBP,0.16819663,0.0134,6.02182e-4
10073_22_3,TDP1,-0.202698895,5.80744e-4,0.003145829
6643_62_3,CD47,0.212419919,0.003119739,0.038949507
8990_42_3,ATP1B3,0.23135342,1.54e-5,2.72351e-4
9257_14_3,TACO1,-0.184617779,0.012247277,0.0371
8791_151_3,CA5A,0.261444571,2.73414e-4,0.007024563
12900_29_3,ACACB,0.173034619,0.00312,0.030732503
10472_53_3,TNFRSF14,0.140588452,5.91493e-4,0.005916788
5443_62_2,NPPA,-0.181918357,0.003109024,0.019070833
4304_18_2,LCORL,-0.173990266,0.002175068,0.026242282
9312_8_3,AZGP1,0.162836955,0.00439,2.24e-9
7792_58_3,CCDC90B,-0.199854803,0.003608092,0.043605395
12936_38_3,RLBP1,0.323057386,3.81e-6,7.06e-8
11222_62_3,PTPRH,0.218173585,1.02674e-4,1.89745e-4
12854_3_3,TEAD3,0.21067805,0.00103,0.010409031
12758_47_3,GRID2,-0.265498194,2.31e-5,2.63607e-4
10087_10_3,CRYAA,-0.136652023,0.012334163,0.036797734
7020_13_3,CHST5,0.318647999,1.20262e-4,2.5032e-4
8959_61_3,ADAM17,0.173913678,2.53e-5,0.001675086
6914_15_3,AMIGO2,0.248793364,2.17e-4,1.29e-5
7917_17_3,CPD,0.233846681,2.59e-4,3.63e-12
5006_71_1,MAPK13,-0.291555539,1.13839e-4,8.07668e-4
6917_49_3,LRRC3,-0.175669409,0.00424,9.64e-12
4566_24_3,RSPO2,0.22808959,4.63265e-4,0.010654553
9197_4_3,LGALS9,0.249204225,1.24e-6,2.52e-10
12701_1_3,EIF1B,-0.207982468,0.003286183,0.015218789
10878_1_3,TNFRSF10B,0.15203077,9.71e-4,4.98e-4
2201_17_6,COL18A1,0.164318117,0.001700403,8.17e-5
9484_75_3,DSG2,0.112287436,0.004157319,0.001256732
2975_19_2,CTGF,0.144420062,0.013173298,0.025531972
6039_24_3,CRHBP,-0.118862242,0.0133,7.96e-5
4440_15_2,FCRL3,-0.243288361,3.05618e-4,0.001803469
10534_40_3,PARP1,-0.29122627,5.65473e-4,0.00648573
11547_84_3,MUSK,0.166509705,9.56177e-4,7.26803e-4
7765_15_3,ITM2A,-0.170244981,0.014559916,0.037348945
6530_63_3,PROL1,-0.122449256,0.009649444,0.005109263
11712_207_3,UNC45A,-0.174160839,0.00113,0.004746783
9412_52_3,ACVR2B,-0.179658068,0.00374718,0.035632399
9352_86_3,REG3G,0.188185578,7.4e-4,1.5e-6
8992_1_3,TMEM2,0.191491269,0.00112,1.82e-5
8999_19_3,CEACAM3,0.180287753,0.005177391,0.03070709
2578_67_2,CCL2,0.146117633,0.00741,0.001487573
7003_4_3,GALNT10,0.175188113,0.001165067,0.010820432
4258_15_2,PA2G4,-0.265253623,0.003649552,0.028508481
4990_87_1,GP1BA,-0.21970406,2.14808e-4,0.002238308
4328_2_2,BOC,0.195514511,4.1e-5,5.72e-5
2666_53_2,DCN,-0.159531361,0.012006013,0.010280496
9997_12_3,UBXN4,0.215311644,3.89454e-4,3.054e-4
14272_43_3,FBXL4,-0.136500136,0.0128,1.14e-9
9279_7_3,IGSF11,0.140400358,0.01,0.009557084
3422_4_2,CDC2,-0.198526921,2.84098e-4,0.005987212
10571_14_3,MGAT1,0.146744351,0.00708,0.009444856
10006_25_3,ELK1,0.259266185,1.72e-5,5.96e-4
4249_64_2,NME2,0.305177272,2.62e-5,9.78e-5
8345_27_3,GPX7,-0.18052657,0.008344459,0.029320158
3796_79_2,ANGPTL4,0.260907539,3.14e-4,5.44e-13
14048_7_3,IL1RAP,0.158092333,0.010113234,0.00108
11338_49_3,BLK,0.206207436,9.50746e-4,0.014009339
6896_3_3,C1orf162,0.227521392,1.01647e-4,1.31916e-4
3388_58_2,PAK7,-0.170183589,0.005781772,0.009581809
8989_40_3,SCUBE1,0.29474596,2.48e-6,2.21e-8
3416_2_2,BTK,-0.317709792,5.31e-5,1.19522e-4
6550_4_3,ICAM4,-0.234935275,5.53e-5,0.001438358
6484_11_3,POSTN,0.195178293,0.001431141,0.007174184
8773_172_3,EMILIN3,0.191975851,2.85656e-4,0.0103
14150_7_3,IL36A,0.157246456,5.8e-4,4.97e-12
14291_53_3,AGAP2,-0.115051667,0.00938,3.61326e-4
10785_8_3,LRRC52,0.317693832,4.7e-8,1.08e-5
3646_7_4,TEC,-0.141649533,0.034768404,0.043003994
8686_342_3,C11orf73,-0.205864693,0.001659498,0.004578305
13725_3_3,FGF16,-0.217233286,0.001697885,0.001746742
3803_10_2,CST5,0.153612403,0.010879639,4.65053e-4
9063_9_3,APOA5,-0.194370073,1.91e-4,0.007321991
13657_2_3,PNKP,-0.247018878,0.003702981,0.024835282
3613_62_1,FCN1,-0.232924567,0.001131532,0.007753445
6055_53_3,IFNAR1,-0.240609368,4.34657e-4,0.003717579
2857_70_2,NR3C1,-0.25637977,1.05e-6,1.19514e-4
12477_42_3,TSN,0.235468331,0.004515896,0.029187028
