marker,gene,gmsdis_coef,gmsdis_coef_pval,gmsdis_pval_fdr
14260_112_3,NET1,-0.19660052,4.45128e-4,0.004759725
14123_34_3,C10orf54,0.138139052,0.0369,0.001383356
4383_97_1,INHBA,0.154536987,0.00495,1.27e-9
9302_90_3,GADD45GIP1,0.123914695,0.031821773,0.023040725
8340_9_3,DEFB110,-0.152102356,0.012670587,0.017887765
10631_9_3,PGRMC2,0.169137902,0.006963602,0.007739707
6256_9_3,LY6G6C,-0.262183404,0.001646707,0.002912794
6409_57_3,ADGRF5,-0.175490286,6.77734e-4,0.00812434
9097_5_3,KIAA1324,-0.156952285,0.041327389,7.84186e-4
9254_18_3,FCER1A,0.2396743,6.82e-5,1.71e-7
8790_6_3,ARSA,0.19282478,0.0028957090000000002,0.033894321
6379_62_3,ADAMTSL2,-0.111041422,0.00482,2.19e-14
3518_54_2,CPB2,0.195610913,9.25e-4,2.02e-7
3344_60_4,SERPINC1,0.183370532,0.00174,1.73e-7
12633_3_3,PTPN9,0.120058832,0.032127375,0.011871683
8978_30_3,MAP4K3,-0.190399877,0.003460804,0.0482986
7823_22_3,ST6GALNAC2,-0.162944294,6.77755e-4,3.66914e-4
12030_82_3,DES,0.241514468,2.81e-5,0.001761202
9955_40_3,RNF148,-0.136893289,0.002504647,0.038655434
2838_53_1,MMP17,-0.123291197,0.011742583,8.51e-5
13126_52_3,DSC2,0.322519261,1.3e-13,3.01e-15
9490_3_3,C4orf32,0.300113459,1.43e-5,3.27421e-4
9802_27_3,PNPLA2,0.128226528,0.049584217,0.032246258
9176_3_3,MUC1,0.227691015,3.52e-6,8.15e-5
5666_64_3,IL1R2,0.183221687,0.002797448,0.035763753
13929_27_3,CROT,0.161869356,0.02969127,0.008072932
12508_9_3,VPS24,0.2924524,1.69e-5,6.19223e-4
8700_325_3,GALNT11,-0.17666792,0.006808144,0.00136636
8246_9_3,PCSK9,-0.105646672,0.020186189,0.037735306
10870_32_3,SPAST,0.221326077,3.67899e-4,0.005253836
12575_30_3,MTHFD1,-0.229123804,4.92546e-4,0.0016846160000000001
6420_4_3,SDHAF2,0.182305184,6.59e-5,4.92e-6
3210_1_2,METAP1,-0.264648362,6.15284e-4,0.00874256
11681_8_3,AGFG1,0.21988076,8.78534e-4,8.69e-7
8889_5_3,CCPG1,-0.255256226,1.25e-5,3.45e-5
4918_21_1,KNG1,0.158540527,0.0107,2.7e-5
13728_19_3,ERP29,-0.177013955,8.54084e-4,0.004021356
2247_20_11,PROK1,-0.195203164,0.00296,0.030831152
7928_183_3,TPST1,0.174616619,0.002122951,0.022683156
10738_11_3,FBLN5,0.283029189,1.6e-5,7.66e-5
2614_28_2,EFNA4,0.351611695,7.61e-9,6.63e-8
5745_64_3,PI15,-0.195805804,0.009229434,0.015902043
13493_5_3,GRID1,0.232301239,5.02e-4,5.12e-11
3864_5_2,RPS7,-0.219374353,0.011182673,0.022577662
12385_4_3,CAPN3,-0.172528076,7.87e-4,0.003675916
14082_56_3,TLN2,0.218337177,4.27e-4,0.013815196
8339_72_3,GRP,-0.125141023,0.013363542,0.038469131
11646_4_3,CHST9,0.250728293,8.86e-7,1.29e-5
3738_54_1,CSF1,0.171778409,0.00222,0.003817502
9497_3_3,SMDT1,-0.190884163,0.002366657,0.04331565
13700_10_3,ANXA2,0.19136487,0.0095,6.51e-5
5026_66_1,RPS3,-0.237023723,0.00163028,0.005764627
11534_6_3,LRIT3,-0.160832765,0.00735,1.67e-8
5201_50_4,PDE9A,0.342322923,1.08e-7,2.57e-6
12975_11_3,KRT20,0.331526785,1.94837e-4,0.001287122
12815_9_3,IARS,0.175434664,0.003567392,0.043819117
5668_49_3,AGR3,0.168248181,0.0128,1.79e-6
4911_49_2,GSTP1,0.224952812,2.86e-7,1.41e-6
8587_21_3,SPINK14,0.166171197,0.00433,4.15111e-4
3364_76_2,CTSV,-0.113264439,0.00772,0.040421302
12471_47_3,STAU1,-0.165103038,0.001651535,5.47e-7
12493_42_3,OTUB2,0.183540769,0.006049672,0.009284803
12861_13_3,TMOD3,0.222206932,0.010186151,0.013713752
4775_34_3,GSN,0.241060403,1.15e-5,9.4e-4
13985_12_3,SMURF2,-0.17356232,8.17492e-4,0.005575758
12803_9_3,ZNF329,-0.176216245,0.002740447,0.013124927
14036_116_3,MPDZ,0.165246869,0.004020619,0.008019143
9764_79_3,HNRNPF,-0.306323394,6.35398e-4,0.005669216
7008_13_3,EVA1C,-0.194145819,0.003097471,0.019388778
10675_223_3,TMX2,0.159424575,0.0061,0.00727
6424_2_3,RNASE13,-0.13999907,0.034442007,0.039564193
5584_21_3,TCN2,0.104668605,0.0452,1.03e-5
8280_238_3,VTN,-0.130587954,0.037,2.07e-6
4545_53_3,DNAJC19,-0.176465619,0.002455576,0.046282712
3399_31_2,STAB2,-0.248313983,0.001145267,0.011723479
6290_3_3,UTS2B,-0.182931576,0.001863396,0.025249205
7125_4_3,RIC3,0.127688708,0.015945434,2.86e-7
11200_52_3,CD93,-0.159481846,0.001520575,0.01757333
4124_24_2,HSPA1A,0.180233051,0.003302379,0.028018582
11458_30_3,PCBP1,-0.196138572,0.010048909,0.043819117
12616_45_3,NRBP1,0.098363579,0.0428,5.01e-22
8304_50_3,TNFRSF11B,0.32278142,8.32e-10,5.45e-13
13484_69_3,COL1A1,-0.229921571,3.19492e-4,7.84186e-4
3622_33_4,LGMN,-0.31289593,1.48e-9,2.06e-7
10668_5_3,STX4,0.17044323,0.003014713,5.79439e-4
9793_145_3,IGDCC4,0.129923821,0.0195,4.31e-7
12786_61_3,GPCPD1,0.162621113,0.001283308,0.013931389
5012_67_1,AK1,0.181645004,0.005132452,3.05e-6
10464_6_3,ANTXR1,-0.24101962,4.71125e-4,0.012505871
7895_108_3,MRAP,-0.191880305,0.004892626,0.036461629
11334_7_3,LILRB3,-0.214876551,0.002149699,0.039433573
2796_62_2,FGA,0.175617446,8.02789e-4,1.27e-6
3348_49_2,BMP1,-0.223434205,0.00118,8.98e-7
5526_53_3,TNFRSF18,0.223222523,0.004851382,0.03215585
13122_19_3,FLRT2,0.14625214,0.00427,0.037781843
10396_6_3,MCL1,0.25825434,1.13e-5,3.93e-5
3313_21_2,FCN2,-0.264707587,8.83e-6,8.16e-5
2989_17_2,IFNG,-0.202886917,0.0112,1.28e-5
8927_6_3,C7orf73,0.161239124,0.005106051,2.97e-10
13673_21_3,CCT7,-0.247974065,1.24e-4,9.7474e-4
12771_19_3,ZNF180,-0.226441468,4.18e-5,0.001981329
6390_18_3,NPS,0.169227216,2.39e-4,0.005963886
9873_17_3,ESRRA,0.178031491,0.001336971,7.01314e-4
14614_41_3,NCMAP,0.141088092,0.019272221,0.001125482
5065_8_2,CD83,0.091756339,0.0118,0.003267941
9061_3_3,ARHGEF10,-0.204279735,3.16798e-4,0.001180633
11699_16_3,PTP4A2,0.164836022,0.00101,0.004744309
9392_43_3,MGAT4A,-0.173636293,0.001936336,0.004316109
10372_18_3,STAT6,-0.172689296,6.37487e-4,0.013512635
5882_34_2,EEF1B2,-0.151223033,0.022,2.84e-19
10576_7_3,PLXDC2,0.150885675,0.00227,0.002345093
12853_112_3,TMOD2,0.261174106,2.02e-6,1.02727e-4
9470_15_3,METTL24,0.286647971,4.09e-8,2.3e-6
9307_3_3,LYPD3,0.271582677,4.65902e-4,0.004910941
5691_2_3,CRISPLD2,-0.143991852,0.004826169,0.036124445
10800_15_3,SERPINH1,0.154896579,0.018233344,0.008640476
8952_65_3,CSF3,0.226993042,9.09e-5,0.002313759
11358_15_3,GRB10,-0.097162648,0.040545063,0.022844751
5354_11_3,KRT18,0.26555471,5.02e-7,3.24e-5
6464_40_3,PVRIG,-0.261607932,2.55e-5,1.35158e-4
10058_1_3,RAD23A,0.128028953,0.00699,0.00786
10041_3_3,HNF4A,0.120774319,0.0165,6.39e-9
7832_181_3,PDIA3,0.109418961,0.0269,0.00495
13422_66_3,ENOX2,0.30904953,1.84e-6,1.24197e-4
9585_80_3,CLMP,0.223133177,3.28e-4,3.44e-14
5228_25_2,KIF23,0.13309602,0.031702613,0.0029851
13994_1_3,FBL,-0.229342193,2.23134e-4,0.003305551
3363_31_4,CSK,-0.348522955,1.38e-6,1.31e-5
9107_59_3,ARMC10,0.179137294,1.98e-4,1e-17
12756_3_3,BACH2,0.228262641,0.003190492,0.033903727
6362_6_3,C2orf40,-0.154080237,0.005221945,0.015682545
7753_21_3,HTATIP2,0.168959492,0.00485,1.7e-6
13960_15_3,AGAP3,0.197174264,1.33e-4,2.87e-5
6019_12_3,C1QTNF9,-0.216392882,8.40094e-4,0.007146012
5611_56_3,DEFB108B,0.183757435,0.001180693,7.03578e-4
12718_43_3,PIN4,0.129961664,0.042649706,0.017688444
8450_36_3,ADCYAP1,-0.208892598,3.29843e-4,0.005765793
11370_20_3,INPP5E,-0.134225867,0.005305113,0.030831152
10882_12_3,DSC1,0.250879549,9.45e-5,0.001377879
11204_80_3,CXADR,0.176816196,0.005501201,0.032030957
13485_20_3,TMEM87B,-0.157652176,0.003997446,0.009086746
14227_21_3,MYL6B,0.210056248,3.28131e-4,1.2161e-4
12522_6_3,RAD23B,0.139752478,0.00144,0.001175873
10382_1_3,ANGPTL3,0.128186873,0.00784,0.011871683
8028_22_3,SPINK5,0.2090289,2.42756e-4,2.89e-5
7145_1_3,ITIH3,-0.231979883,1.47917e-4,2.6e-5
5708_1_3,LEAP2,-0.083537957,0.0313,0.001842233
10741_22_3,CSF1,0.135210345,0.00334,0.006010642
7638_30_3,LMAN2,0.134490687,0.0391,1.67e-7
3815_14_1,IL12RB2,0.237914993,3.84e-6,6.2e-9
7007_24_3,TRAPPC4,-0.200536065,1.05376e-4,0.001484774
14169_66_3,TXNL4B,0.129862265,0.008743431,0.023090643
11952_1_3,IGDCC3,-0.204560432,0.003784301,0.007275407
8237_56_3,SOSTDC1,0.176047755,0.001040489,6.99e-5
7947_19_3,ENTHD2,0.261072026,6.92e-8,5.19e-7
3437_80_3,FLT3,-0.170490276,0.001176646,0.006488641
12677_164_3,FLII,0.193489137,0.001280448,0.001981329
7796_10_3,CD79A,0.217273325,8.49e-6,5.76626e-4
9560_56_3,CD96,0.275368416,6.88e-6,2.06811e-4
9842_2_3,CTNNB1,0.267033949,1.66e-5,5.51609e-4
4132_27_2,FST,-0.215321636,4.09467e-4,5.94892e-4
3809_1_2,FGFR3,-0.177670526,0.007544877,0.014191494
13455_10_3,DEFB119,0.171685576,0.002711656,7.16e-5
6955_68_3,SNX1,0.115507607,0.042104687,0.036292637
8260_13_3,PDZK1IP1,-0.206464066,0.00439,7.26e-10
2833_20_1,KLK4,-0.170457459,0.01091778,0.005510668
3041_55_2,MRC2,0.139474479,0.006874861,0.001405724
3452_17_2,LCK,-0.288398955,6.02e-7,4.08e-5
9385_4_3,GAA,-0.179360418,7.68e-6,2.26e-6
4165_2_1,TG,-0.162913485,0.001954502,0.030413297
8991_115_3,FCRL4,-0.221190646,2.73182e-4,0.008502259
7201_5_3,ISCU,-0.151031844,0.021126781,0.024899207
12796_44_3,NUDT3,0.161166123,0.00309,0.036642051
5610_32_3,FAM171A1,0.189905727,5.4e-4,7.3026e-4
13653_335_3,MACROD1,0.320620313,5.61e-5,3.00412e-4
9055_81_3,MYZAP,-0.194770911,0.00142,0.026604917
6973_2_3,IGF2,0.249431231,4.4e-5,1.14656e-4
5624_66_3,FOLR3,0.142580673,0.001209527,0.009645764
9834_62_3,ADH1B,0.388487064,2.41e-9,1.84e-10
4771_10_3,SMPDL3A,-0.155609347,6.41072e-4,0.018941504
7066_199_4,FAM209B,0.136959568,0.003719708,0.033171862
11155_16_3,COL6A5,0.255815667,4.63e-7,8.63e-6
10516_53_3,ITM2A,-0.216709967,0.00103,0.025250859
8043_153_3,COMP,-0.154985092,0.006241504,0.011243189
7084_1_3,DRAXIN,0.119726696,0.0169,6.75e-5
7048_4_3,CEACAM19,0.145018122,0.001203669,0.022562973
3342_76_4,ABL2,-0.158056829,0.005036532,0.03215585
4906_35_1,F5,-0.186040026,0.001204781,7.31399e-4
3447_64_2,CXCL8,0.183333859,6.14279e-4,6.9e-9
7064_2_4,VAMP8,0.201522449,0.002832454,6.4e-5
8468_19_3,KLK3,-0.150187791,0.0266,1.18e-5
2853_68_2,CHEK1,-0.234981649,6.65e-5,0.00332663
2906_55_3,IL4,-0.152841224,0.003141181,0.010431676
2429_27_4,C8A,-0.195624617,0.004853608,0.033587919
11851_21_3,TREM2,0.282743055,9.86e-6,6.16e-6
6577_64_3,LAMA4,-0.18527874,2.17e-5,0.001510976
12750_9_3,ITGB2,0.138498827,0.027,0.024643634
10449_31_3,SHISA2,-0.185819984,0.010564056,0.006937958
3852_19_2,DNAJB1,-0.217921322,0.001349469,0.015902043
4474_19_2,RPS27A,-0.109227679,0.043059522,9.54e-5
5746_37_3,EFNB1,0.331833249,1.46e-11,3.14e-11
5125_6_3,SIGLEC14,-0.182596474,0.0014658,0.022094145
10453_7_3,CEACAM20,-0.177782159,0.00337588,0.047711048
6119_14_3,MAMDC2,-0.195265774,0.001814568,0.020393118
6075_61_3,HEXB,0.156803122,1.81821e-4,0.004650047
7104_71_3,CABP7,0.304065808,9.57e-10,1.57e-7
12822_34_3,APBB1,0.274489356,2.57197e-4,0.009515303
6447_73_3,PTX3,0.197958425,0.00187,2.52e-7
9401_57_3,TRABD2A,-0.131384248,0.014378363,0.040376352
8877_22_3,EVA1C,0.186267406,5.79e-4,0.009793057
3800_71_2,CKB,0.175064154,0.005418513,0.043701685
8355_80_3,ISM1,0.214125484,3.39e-5,0.001282691
3728_52_2,SCT,-0.197950549,4.04e-4,1.29e-10
9002_36_3,SERPINA11,-0.242620278,1.25381e-4,1.55e-5
8095_213_3,PPIF,0.206045246,0.00351242,0.009165339
7070_25_4,KEL,-0.185784924,0.001523548,0.030413297
11428_31_3,PDLIM1,0.189621789,0.001420505,3.71451e-4
13589_10_3,APBB3,0.110947969,0.0281,1.48115e-4
14098_28_3,CARS,0.174891473,0.007085611,9.678e-4
14633_26_3,TMEM185A,0.169068726,0.00231255,0.020619378
4429_51_2,CHST6,0.166110426,0.006800298,0.006152194
8929_7_3,BDP1,-0.211168401,9.76333e-4,0.013368077
13587_10_3,RACGAP1,0.211762492,4.62317e-4,3.94e-6
14090_23_3,DEF6,-0.334231091,2.02e-6,1.11e-5
2891_1_3,CD22,-0.188308412,0.0023202,0.024568113
6470_19_3,FBLN1,-0.104186944,0.0473,1.13351e-4
12814_17_3,RNPC3,0.270814501,3.17e-7,3.13e-6
7927_16_3,ST6GALNAC5,0.104733759,0.0262,1.3422e-4
4472_5_2,TPM2,-0.129140332,0.037484068,0.046774322
13512_28_3,HNRNPR,0.200239656,0.001136398,0.005291943
9594_30_3,SLC30A5,0.126028648,0.049715314,0.025249205
2192_63_10,CCL27,-0.204647119,2.27296e-4,0.005145276
10491_21_3,M6PR,0.307779223,3.46e-6,7.36e-5
9738_7_3,FAF2,0.250789104,1.36e-6,3.85e-5
3351_1_1,CAMK2B,0.225206178,0.002469339,0.001687733
9745_20_3,EIF4E2,0.148072786,0.003299956,0.025223717
2986_49_2,CXCL3,-0.16079606,0.001405688,0.031303691
3073_51_2,IL18BP,0.176217661,3.44e-4,0.001604698
8467_9_3,INHBB,0.167615865,0.004796846,0.013262504
13501_10_3,SLC35G2,0.136702992,0.00552,2.14e-5
11103_24_3,HSPB1,0.205947679,6.97383e-4,2.05819e-4
7208_60_3,MGAT4C,0.17565502,0.001250898,0.027804369
14025_18_3,TNFRSF9,-0.165398145,0.004533284,0.026567404
5885_55_3,EIF4H,0.252508618,2.52524e-4,4.48958e-4
5727_35_3,B3GALTL,0.157422901,5.42789e-4,0.003599401
11161_5_3,SPG20,0.213632953,0.001844805,0.01839141
11860_3_3,CLPB,0.246568844,4.88e-5,0.002197625
9815_5_3,ARHGAP1,0.235304545,1.46964e-4,3.82e-6
12676_1_3,PACSIN1,-0.15221309,0.012542379,0.034398847
5493_17_3,WNK3,-0.174086998,0.011772833,0.041885857
6294_11_3,BAGE2,-0.191767982,0.012441126,0.02222145
12862_14_3,NEDD9,-0.224251687,1.10791e-4,4.64e-5
5017_19_1,PRDX5,-0.173146275,0.002445727,0.045747051
9864_38_3,TTC1,-0.202500806,1.74529e-4,0.003066747
8360_169_3,NCR1,0.126313835,0.0101,0.037253532
12018_84_3,TPK1,0.253058364,1.41e-7,2.54e-5
2870_29_2,RAC1,-0.147464789,0.005682713,0.029993808
8765_23_3,EFNB2,-0.205671319,0.0011,0.022537544
12490_92_3,LAMTOR3,0.266869507,0.002347669,0.048476202
4143_74_2,XCL1,-0.166201849,0.003016627,0.017857415
11173_29_3,MILR1,0.272529404,2.49e-5,0.001077764
12811_55_3,ZNF415,-0.132853954,0.009500454,0.018457843
4245_80_2,MDM2,-0.188053261,1.2e-4,0.003518448
7981_230_3,B3GALT6,0.301566513,3.69e-8,1.5e-7
3612_6_4,EPHB4,-0.174142207,0.008813002,0.035050164
6284_7_3,FAM150B,-0.121214805,0.038551241,0.009224607
5462_62_3,FCN3,-0.163434994,0.00167,9.55406e-4
2737_22_2,NOV,0.263842718,5.45e-8,3.21e-13
11510_51_3,APOL1,-0.168055996,0.001878974,0.01629924
12693_2_3,SH3BGRL,0.209624309,1.73e-4,0.001519019
12408_333_3,RAB22A,-0.288514445,7.52e-15,2.5e-17
7960_53_3,POTEG,-0.134530563,0.015211462,0.001675086
13097_11_3,BCL2L2,0.191293264,4.1075e-4,0.013067123
5242_37_3,MAP2K4,0.197970224,0.001139208,4.78736e-4
8041_5_3,FNDC5,0.119254687,0.0309,1.21e-8
4874_3_1,ANG,0.238670133,5.42e-6,6.33e-8
13025_4_3,FRS2,0.139878294,0.00832,0.006417969
14186_13_3,RFFL,0.230969747,0.001123748,0.012973891
5114_65_3,PRLR,-0.139316397,0.015047714,0.047087015
8297_8_3,DNAJC10,0.228334964,5.06e-4,0.002528922
8660_33_3,OLFML3,0.300619855,3.81e-7,2.43e-5
7713_50_3,FMR1,-0.15812228,0.00262,0.00228494
10361_25_3,OAS1,-0.130924364,0.018943182,0.019380426
6285_71_3,MLEC,0.25006507,0.00415912,0.003532751
6453_70_3,LILRB4,-0.193943243,4.49e-6,1.28e-8
7136_107_3,HBE1,0.141274884,0.00199,7.64454e-4
12345_4_3,ANAPC10,0.118988735,0.0414,0.024761762
14645_253_3,GSTA4,0.257650022,2.02e-4,0.005693433
10663_42_3,INSIG1,-0.124575097,0.0374,3.14e-6
14078_69_3,XCL1,0.166397927,8.1996e-4,0.003186907
12469_19_3,MAPRE1,0.105521771,0.048239505,0.005231995
4428_1_2,CHST2,-0.189761171,6.95052e-4,0.013262504
3419_49_2,CAMK2D,0.198849016,0.006154415,0.004622974
2982_82_2,LGALS4,-0.190066629,8.88598e-4,0.011551425
14603_51_3,KIAA0040,0.179865819,9.87269e-4,0.003271824
10938_13_3,CD58,0.1746467,0.004949278,0.023196939
13387_55_3,EHF,0.095366054,0.0205,6.52e-5
5358_3_3,OMD,0.246091179,2.58e-5,1.02e-5
10042_8_3,SGK3,-0.12047814,0.049970955,0.009252066
13441_30_3,DIXDC1,0.195054563,0.002307399,8.58578e-4
5437_63_3,FABP3,0.178159279,8.19034e-4,1.4e-7
3449_58_2,SERPINA4,0.132926112,0.0064,5.43e-9
10589_7_3,RAET1L,-0.122664266,0.0493523,2.62e-5
3808_76_2,FGFR2,-0.166881196,0.002549347,0.023391178
6531_29_3,FAM162A,-0.224715518,1.19375e-4,0.005787649
3044_3_2,CCL18,-0.114483359,0.00245,0.00412
12859_33_3,ECI2,-0.1308233,0.006831885,0.024699889
14005_2_3,CHD7,-0.172117622,7.99861e-4,0.014661638
6020_52_3,UTS2,-0.168524189,0.003726464,0.017888833
3903_49_2,SNX4,0.177575473,0.00296,2.9574e-4
8858_21_3,BATF3,-0.19115348,0.003009502,0.034712524
14587_16_3,GDF11,0.150544831,0.00108,8.75e-5
5256_86_3,PDE5A,0.247761598,1.34375e-4,0.0016846160000000001
12775_6_3,HMGB3,-0.078415993,0.049363903,0.012108053
12423_38_3,A1CF,0.182605011,9.758e-4,0.015938501
12681_63_3,USP21,-0.187381923,0.003798718,4.4286e-4
5000_52_1,LGALS3BP,0.136467547,0.015670351,0.020123383
3187_52_2,CRISP3,-0.164575919,0.00961,1.36e-12
9506_10_3,APOL1,0.121353672,0.0321,1.31e-7
12707_26_3,DPYSL3,0.204724202,3.9761e-4,1.89795e-4
8040_9_3,LEMD1,0.182197613,1.79681e-4,6.19245e-4
13043_157_3,ATAD2,-0.185478792,0.001009264,0.026612383
2945_25_1,ESR1,-0.178834715,0.009238761,0.001670408
8969_49_3,CD14,0.230339521,2.9e-7,1.35e-6
12876_39_3,SPEF1,-0.173869759,0.00242,3.45e-15
4420_7_2,ADAM12,0.225519811,5.04e-6,4.96e-5
10428_1_3,KIR2DS2,0.159692418,0.001846755,5.60208e-4
5532_53_3,FGFR1,-0.105842701,0.0174,5.68628e-4
3730_81_2,TNFRSF4,0.148158155,0.033,4.84e-7
7154_92_3,C6orf58,-0.135099285,0.013428357,0.001177086
3839_60_2,AIP,-0.221508423,0.004057682,0.021689129
5590_11_3,ZPLD1,-0.182705695,0.004304522,0.033121549
3817_18_1,PRKCQ,-0.137942245,0.016431484,0.007462792
3347_9_2,ADRBK1,-0.258404392,0.0010106,0.004569641
5581_28_3,FGL1,-0.121538219,0.0188,1.75058e-4
7921_65_3,FJX1,0.288981031,8.24e-6,1.40583e-4
8807_13_3,SNX1,0.100798319,0.036837814,0.046782399
14294_61_3,MBD1,0.19479084,0.003431191,0.00806267
10876_300_3,BRAT1,0.184677521,0.007254908,0.047071662
13583_19_3,APAF1,0.247572822,3.91e-5,0.001646853
7839_99_3,FAM19A3,0.148168517,0.002048243,1.73828e-4
13622_16_3,PPP2R5A,0.246587185,7.1e-5,1.75058e-4
5202_4_3,PPID,-0.275807398,6.49e-6,7.51e-5
7881_244_3,PARP16,0.20325256,3.38242e-4,0.004659314
3472_40_2,BIRC5,-0.201623909,6.07286e-4,0.003460603
11089_7_3,IGHA2,0.135346605,0.0107,2.9e-10
6463_59_3,QRFP,0.136698767,0.01940287,0.007054407
2524_56_3,HMGB1,-0.270439045,8.63778e-4,0.018474918
13268_45_3,WNT5A,0.431278322,8.57e-8,1.23e-11
13983_27_3,CRYZ,-0.142859997,0.00383,0.016061018
2826_53_2,EDA,0.207539847,1.9e-5,6.93423e-4
5970_61_3,LECT2,-0.170007367,0.002562193,0.001033859
7909_37_3,SHBG,-0.145650127,0.00634,1.31e-14
2913_1_2,CCL23,-0.100349703,0.0340688,6.27063e-4
9327_3_3,LYPD1,0.225705705,3.67e-6,7.81e-5
4697_59_2,CSF2,0.253681477,1.21e-5,2.03118e-4
11327_56_3,CLK2,0.230101893,2.82169e-4,0.001570066
9051_13_3,IL32,0.197941217,2.35749e-4,3.22e-7
10603_1_3,HTN3,0.157838429,0.008221336,6.30918e-4
6172_7_4,UBC,-0.105264275,0.0125,2.17e-6
9237_54_3,ACP2,0.173417567,0.00217,2.78374e-4
10078_5_3,BAG3,0.227870741,1.77456e-4,1.58e-5
11201_19_3,PUS1,-0.17712625,0.001690176,0.025234094
12663_1_3,TST,0.184557493,1.26e-4,2.02e-5
7196_21_3,IFNW1,0.181356012,0.004445992,0.002730207
6225_3_3,PRSS8,0.155041986,2.71397e-4,0.006517227
11265_8_3,ALDH1A1,-0.18879572,5.36e-7,1.52e-8
2768_56_2,HPX,-0.090108859,0.033863918,0.015942195
10880_38_3,FAM163B,-0.157493805,0.00159,1.56e-7
9255_5_3,IL17C,0.176516449,0.008453245,0.012419642
8874_53_3,CLN5,0.18954498,0.04088876,0.018627956
12990_39_3,MAP3K3,0.285705098,2.97671e-4,1.46035e-4
13556_28_3,HTR2A,-0.144698173,0.010936492,4.26393e-4
4230_1_2,EIF4G2,0.18231963,0.005557024,0.001136851
2598_9_3,TNFRSF9,-0.165901533,0.001122612,0.005592679
12855_16_3,CASS4,0.244268455,0.002452005,0.041984275
3182_38_2,ENTPD1,0.145580692,8.21546e-4,0.014457574
9089_77_3,JPH3,-0.17452071,9.64937e-4,0.011107654
5482_61_3,RBP4,-0.226581255,1.92e-5,1.01e-6
13683_18_3,CLCNKB,0.173126023,0.00483,3e-5
9927_96_3,TNS4,0.1866234,0.001830757,0.029707287
